match,server,game,score,reward
0,1,0,"(0, 0)",0
0,1,1,"(15, 15)",0
0,1,1,"(15, 30)",0
0,1,1,"(30, 30)",0
0,1,1,"(40, 30)",0
0,1,1,"(0, 0)",0
0,0,2,"(15, 0)",0
0,0,2,"(15, 15)",0
0,0,2,"(15, 30)",0
0,0,2,"(15, 40)",0
0,0,2,"(0, 0)",0
0,1,3,"(0, 15)",0
0,1,3,"(15, 15)",0
0,1,3,"(30, 15)",0
0,1,3,"(40, 15)",0
0,1,3,"(0, 0)",0
0,0,4,"(0, 15)",0
0,0,4,"(0, 30)",0
0,0,4,"(0, 40)",0
0,0,4,"(0, 0)",0
0,1,5,"(15, 0)",0
0,1,5,"(15, 15)",0
0,1,5,"(15, 30)",0
0,1,5,"(15, 40)",0
0,1,5,"(0, 0)",0
0,0,6,"(0, 15)",0
0,0,6,"(0, 30)",0
0,0,6,"(0, 40)",0
0,0,6,"(0, 0)",0
0,1,7,"(0, 15)",0
0,1,7,"(15, 15)",0
0,1,7,"(30, 15)",0
0,1,7,"(30, 30)",0
0,1,7,"(40, 30)",0
0,1,7,"(0, 0)",0
0,0,8,"(0, 15)",0
0,0,8,"(0, 30)",0
0,0,8,"(0, 40)",0
0,0,8,"(0, 0)",0
0,1,9,"(15, 0)",0
0,1,9,"(30, 0)",0
0,1,9,"(40, 0)",0
0,1,9,"(40, 15)",0
0,1,9,"(40, 30)",0
0,1,9,"(40, 40)",0
0,1,9,"(60, 40)",0
0,1,9,"(40, 40)",0
0,1,9,"(60, 40)",0
0,1,9,"(0, 0)",0
0,0,10,"(15, 0)",0
0,0,10,"(15, 15)",0
0,0,10,"(15, 30)",0
0,0,10,"(15, 40)",0
0,1,10,"(15, 0)",0
0,1,11,"(15, 15)",0
0,1,11,"(30, 15)",0
0,1,11,"(40, 15)",0
0,1,11,"(40, 30)",0
0,1,11,"(40, 40)",0
0,1,11,"(60, 40)",0
0,1,11,"(40, 40)",0
0,1,11,"(60, 40)",0
0,1,11,"(40, 40)",0
0,1,11,"(40, 60)",0
0,1,11,"(40, 40)",0
0,1,11,"(60, 40)",0
0,1,11,"(0, 0)",0
0,0,12,"(0, 15)",0
0,0,12,"(0, 30)",0
0,0,12,"(0, 40)",0
0,0,12,"(0, 0)",0
0,1,13,"(0, 15)",0
0,1,13,"(15, 15)",0
0,1,13,"(15, 30)",0
0,1,13,"(15, 40)",0
0,1,13,"(30, 40)",0
0,1,13,"(40, 40)",0
0,1,13,"(40, 60)",0
0,1,13,"(40, 40)",0
0,1,13,"(60, 40)",0
0,1,13,"(0, 0)",0
0,0,14,"(0, 15)",0
0,0,14,"(0, 30)",0
0,0,14,"(0, 40)",0
0,0,14,"(0, 0)",0
0,1,15,"(0, 15)",0
0,1,15,"(15, 15)",0
0,1,15,"(30, 30)",0
0,1,15,"(40, 30)",0
0,1,15,"(0, 0)",0
0,0,16,"(0, 15)",0
0,0,16,"(0, 30)",0
0,0,16,"(0, 40)",0
0,0,16,"(0, 0)",0
0,1,17,"(0, 15)",0
0,1,17,"(0, 30)",0
0,1,17,"(0, 40)",0
0,1,17,"(15, 40)",0
0,1,17,"(30, 40)",0
0,1,17,"(0, 0)",0
