match,server,game,score,reward
1,1,10,"(0, 0)",-3
1,1,10,"(15, 0)",-3
1,1,10,"(30, 0)",-3
1,1,10,"(30, 15)",-3
1,1,10,"(40, 15)",-3
1,1,10,"(40, 30)",-3
1,1,10,"(40, 40)",-3
1,1,10,"(40, 60)",-3
1,1,10,"(40, 40)",-3
1,1,10,"(40, 60)",-3
1,1,11,"(0, 0)",-1
1,0,11,"(0, 15)",-1
1,0,11,"(0, 30)",-1
1,0,11,"(0, 40)",-1
1,0,12,"(0, 0)",-3
1,1,12,"(0, 15)",-3
1,1,12,"(0, 30)",-3
1,1,12,"(0, 40)",-3
1,1,12,"(15, 40)",-3
1,1,12,"(30, 40)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(40, 60)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(40, 60)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(60, 40)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(60, 40)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(60, 40)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(60, 40)",-3
1,1,12,"(40, 40)",-3
1,1,12,"(60, 40)",-3
1,1,13,"(0, 0)",1
1,0,13,"(0, 15)",1
1,0,13,"(0, 30)",1
1,0,13,"(0, 40)",1
1,0,14,"(0, 0)",-3
1,1,14,"(0, 15)",-3
1,1,14,"(0, 30)",-3
1,1,14,"(0, 40)",-3
1,1,14,"(15, 40)",-3
1,1,14,"(30, 40)",-3
1,1,15,"(0, 0)",-1
1,0,15,"(0, 15)",-1
1,0,15,"(0, 30)",-1
1,0,15,"(0, 40)",-1
1,0,16,"(0, 0)",-3
1,1,16,"(0, 15)",-3
1,1,16,"(15, 15)",-3
1,1,16,"(15, 30)",-3
1,1,16,"(30, 30)",-3
1,1,16,"(30, 40)",-3
2,1,17,"(0, 0)",-1
2,1,17,"(15, 0)",-1
2,1,17,"(30, 0)",-1
2,1,17,"(40, 0)",-1
2,1,17,"(40, 15)",-1
2,1,17,"(40, 30)",-1
2,0,18,"(0, 15)",1
2,0,18,"(0, 30)",1
2,0,18,"(0, 40)",1
2,1,19,"(30, 15)",-3
2,1,19,"(40, 15)",-3
2,1,19,"(40, 30)",-3
2,1,19,"(40, 40)",-3
2,1,19,"(60, 40)",-3
2,0,20,"(0, 15)",1
2,0,20,"(0, 30)",1
2,0,20,"(0, 40)",1
2,0,21,"(0, 0)",-3
2,1,21,"(15, 0)",-3
2,1,21,"(30, 0)",-3
2,1,21,"(40, 0)",-3
2,0,22,"(0, 15)",3
2,0,22,"(0, 30)",3
2,0,22,"(15, 30)",3
2,0,22,"(30, 30)",3
2,0,22,"(30, 40)",3
2,1,23,"(40, 15)",-1
2,0,24,"(0, 15)",2
2,0,24,"(15, 15)",2
2,0,24,"(15, 30)",2
2,0,24,"(15, 40)",2
2,0,25,"(0, 0)",-2
2,1,25,"(0, 15)",-2
2,1,25,"(0, 30)",-2
2,1,25,"(15, 30)",-2
2,1,25,"(30, 30)",-2
2,1,25,"(40, 30)",-2
2,0,26,"(0, 15)",1
2,0,26,"(0, 30)",1
2,0,26,"(0, 40)",1
2,1,27,"(0, 15)",-3
2,1,27,"(0, 30)",-3
2,1,27,"(15, 30)",-3
2,1,27,"(30, 30)",-3
2,1,27,"(40, 30)",-3
2,1,27,"(40, 40)",-3
2,1,27,"(60, 40)",-3
2,1,27,"(40, 40)",-3
2,1,27,"(40, 60)",-3
2,0,28,"(0, 15)",-1
2,0,28,"(0, 30)",-1
2,0,28,"(15, 30)",-1
2,0,28,"(15, 40)",-1
3,1,29,"(15, 15)",-2
3,1,29,"(15, 30)",-2
3,1,29,"(30, 30)",-2
3,1,29,"(30, 40)",-2
3,0,30,"(0, 15)",-1
3,0,30,"(0, 30)",-1
3,0,30,"(0, 40)",-1
3,1,31,"(0, 15)",-3
3,1,31,"(15, 15)",-3
3,1,31,"(30, 15)",-3
3,1,31,"(40, 15)",-3
3,1,31,"(40, 30)",-3
3,0,32,"(0, 15)",1
3,0,32,"(0, 30)",1
3,0,32,"(0, 40)",1
3,1,33,"(0, 15)",-3
3,1,33,"(15, 15)",-3
3,1,33,"(15, 30)",-3
3,1,33,"(15, 40)",-3
3,1,33,"(30, 40)",-3
3,0,34,"(15, 15)",-1
3,0,34,"(15, 30)",-1
3,0,34,"(15, 40)",-1
3,0,34,"(30, 40)",-1
3,1,35,"(0, 15)",-1
3,1,35,"(0, 30)",-1
3,1,35,"(15, 30)",-1
3,1,35,"(15, 40)",-1
3,1,35,"(30, 40)",-1
3,1,35,"(40, 40)",-1
3,0,36,"(0, 15)",0
3,0,36,"(0, 30)",0
3,0,36,"(0, 40)",0
4,1,37,"(15, 0)",-3
4,1,37,"(30, 0)",-3
4,1,37,"(30, 15)",-3
4,1,37,"(40, 15)",-3
4,1,38,"(0, 0)",2
4,0,38,"(0, 15)",2
4,0,38,"(0, 30)",2
4,0,38,"(15, 30)",2
4,0,38,"(15, 40)",2
4,0,39,"(0, 0)",-2
4,1,39,"(15, 0)",-2
4,1,39,"(15, 15)",-2
4,1,39,"(30, 15)",-2
4,1,39,"(30, 30)",-2
